,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA7_ST132,83.88,100.0,100.0,100.0,8760,7272,7220,52.43,51.95,47.13
SA7_ST138,85.17,100.0,100.0,100.0,8760,7400,7344,52.51,52.03,47.05
SA7_ST146,87.7,100.0,100.0,100.0,8752,7608,7585,56.87,56.35,42.73
SA7_ST123,79.77,100.0,100.0,100.0,8736,6920,6830,48.34,47.89,51.18
SA7_ST117,79.69,100.0,100.0,100.0,8728,6909,6825,52.14,51.66,47.42
SA7_ST120,79.3,100.0,100.0,100.0,8723,6884,6783,49.64,49.18,49.9
SA7_ST121,79.43,100.0,100.0,100.0,8735,6876,6795,49.12,48.67,50.41
SA7_ST129,82.5,100.0,100.0,100.0,8759,7153,7087,50.33,49.87,49.21
SA7_ST141,85.83,100.0,100.0,100.0,8752,7491,7414,54.3,53.8,45.27
SA7_ST116,79.76,100.0,100.0,100.0,8727,6905,6830,52.56,52.08,47.0
SA66_ST145,88.71,100.0,100.0,100.0,8760,7700,7679,59.13,58.58,40.5
SA66_ST143,88.16,100.0,100.0,100.0,8760,7645,7626,57.08,56.55,42.52
SA66_ST140,86.68,100.0,100.0,100.0,8744,7554,7486,55.05,54.54,44.54
SA66_ST128,82.04,100.0,100.0,100.0,8735,7095,7044,49.25,48.79,50.28
SA66_ST132,84.27,100.0,100.0,100.0,8733,7323,7260,51.77,51.3,47.78
SA66_ST138,86.34,100.0,100.0,100.0,8737,7526,7465,55.42,54.91,44.16
SA66_ST141,87.19,100.0,100.0,100.0,8746,7609,7540,55.71,55.2,43.88
SA66_ST144,88.48,100.0,100.0,100.0,8760,7676,7658,58.48,57.94,41.13
SA66_ST120,79.55,100.0,100.0,100.0,8731,6905,6815,53.32,52.83,46.25
SA66_ST137,85.91,100.0,100.0,100.0,8735,7439,7413,54.31,53.8,45.27
SA66_ST126,81.21,100.0,100.0,100.0,8735,7029,6963,48.32,47.87,51.21
SA66_ST119,79.87,100.0,100.0,100.0,8726,6908,6842,56.04,55.53,43.55
SA66_ST135,85.83,100.0,100.0,100.0,8731,7423,7408,53.7,53.21,45.87
SA66_ST146,89.02,100.0,100.0,100.0,8760,7734,7712,60.12,59.56,39.51
SA66_ST131,83.59,100.0,100.0,100.0,8734,7260,7192,50.96,50.49,48.59
SA66_ST116,95.69,100.0,100.0,100.0,8760,8760,8759,91.41,90.57,8.51
SA66_ST127,81.67,100.0,100.0,100.0,8736,7053,7010,48.9,48.45,50.63
SA66_ST125,80.72,100.0,100.0,100.0,8735,7015,6926,48.43,47.98,51.1
SA66_ST123,80.23,100.0,100.0,100.0,8734,6957,6876,51.57,51.1,47.98
SA66_ST134,85.68,100.0,100.0,100.0,8737,7419,7402,53.34,52.85,46.23
SA66_ST129,82.45,100.0,100.0,100.0,8736,7128,7084,49.67,49.21,49.87
